Alignment,Name,Bonus Objective
Saboteur,Disruptor,3 Events Failed
Saboteur,Slacker,Game ends without you completing 5 missions
Saboteur,Corrupt Logistics,Discard 10 Gear
Saboteur,Martyr,Lose 20 units in your lane
Saboteur,Misdirector,"Lanes you don't control is overrun 3 times, you cannot lose your lane between these losses"
Saboteur,Butcher,Game ends without you Healing more than 30 HP on units at medbay
Saboteur,Trojan,Lose 5 progress over course of game
Saboteur,Usurper,Steal Command from higher Rank 3 times
Saboteur,Dictator,Be commander for 5 turns
Saboteur,Ghost,Be lowest rank at end of game
Saboteur,Incompetence,Lose 3 Progress as commander
Allied,Problem Solver,5 Events Passed
Allied,Adventurer,Game ends with you completing 6 missions
Allied,Armorer,Equip 10 Gear to allies lanes
Allied,Enforcer,Kill 10 units in your lane
Allied,The Wall,Do not let your lane overrun
Allied,Medic,Game ends with you Healing more than 30 HP on units at medbay
Allied,Stubborn,Do not lose more than 5 progress over course of game
Allied,Conductor,Take Command from Lower Rank 5 times
Allied,Leader,Be commander for 5 turns
Allied,Tactician,Gain 5 Progress as commander
Allied,High Command,Be highest rank at end of game
Allied,Decorated,Complete game at 5 rank or higher
Allied,Interdictor,Deny 5 enemy abilities
Neutral,Hoarder,Stockpile 40 Organic
Neutral,Nerd,Stockpile 40 Tech
Neutral,Collector,Stockpile 20 Alien
Neutral,Chef,Donate 10 Organic
Neutral,Technician,Donate 10 Tech
Neutral,Scientist,Donate 5 Alien
Neutral,Middleman,Do not be highest or lowest rank in group
Neutral,Exporter,Retire 5 units
Neutral,Advisor,Do not be commander
Neutral,Hunter,Kill enemies with active abilities or items
Neutral,Architect,Fully upgrade 3 buildings
Neutral,Minimalist,End game with 3 empty upgrade slots
Neutral,Survivor,Active unit survives 3 rounds
Chaos,Deus Machina,"When the team would lose the game, instead set progress to what it was before this round, reduce enemy progress by 1 and your objective is now complete"
Chaos,AFK,Do not add units or equipment to any lane for any 3 rounds (does not need to be consecutive)
Chaos,Leroy,Go into a round with only 1 unit in lane
Chaos,Kremlen,Spend more from Command than your own resource
